posting_hash , posting_string, ngram_size, doc_count
950f5ddd39fcd2a, luxor, 1, 1
dab6bd77b7b8d3fa, gourna, 1, 1
d603d05b8fc62b4b, voûte, 1, 1
32f371a137747175, simplifying, 1, 1
f096e3e4f28a5222, faso, 1, 1
4151bbf674b895b8, beams, 1, 1
4ad85d9d8e6fc3cf, 2,545, 1, 1
1f19012f29e7c7b9, beakers, 1, 1
894fb75c6b08b996, parish's, 1, 1
fc1e7c9d15320a42, erdington, 1, 1
3cae9b2fd2876945, 1226, 1, 1
b26381b63822b86a, wolverhampton, 1, 1
f1a9436cc5100768, remigius, 1, 1
cca1c4e837eb1757, yarnton, 1, 1
45154a05815872af, begbroke, 1, 1
a594ea734be5424d, dwelling, 1, 1
a068657b1646057, rewley, 1, 1
1d2b39e496d61fef, 1517, 1, 1
87c73a43aa178237, eynsham, 1, 1
aef3c024127cf18e, earda's, 1, 1
5d1d598ef0b2fc3c, chapel's, 1, 1
bf08a965c09249c4, alderman, 1, 1
afa18ade00f42f82, clerk's, 1, 1
c38ba711a54e63a, 1281, 1, 1
c8867564bd7770d9, pixey, 1, 1
8eddabe092f7a432, hr, 1, 1
fa0fb5df3993bc97, cropmarks, 1, 1
b9412620127561e5, 1536, 1, 1
b1e94fe4fadd8924, dashwood, 1, 1
1878896c80ede674, kirtlington, 1, 1
9557ca6f2a5c7b2a, 1703, 1, 1
298b7345773a87b7, rutten, 1, 1
d4417adf9c83ad51, kolkhorst, 1, 1
f78898a9186c18ca, knibb, 1, 1
20e4ffd364789012, cassington, 1, 1
e6f9db7256b49272, restricting, 1, 1
83632b327f688c72, limewash, 1, 1
137dcbe75b744840, eyrynten, 1, 1
10235bf0160749c5, bartholomew, 1, 1
ffc480b8d0f60273, nativity, 1, 1
fbaee69d3398733a, heraldic, 1, 1
4e59e616c99384ca, innocents, 1, 1
cabd57f0e0bba0b7, 2700, 1, 1
a47cf2dc7f2b4d7e, alabaster, 1, 1
288f174daed9569f, yare, 1, 1
f3b86ba4234e481a, 1665, 1, 1
206426fa567f5774, 1719, 1, 1
a9f9f025c501b35f, 1783, 1, 1
b0085212ebc5f62a, wr, 1, 1
8e167d97f4cc08ec, witney, 1, 1
9b859ab610680523, cotswold, 1, 2
642bc299b439db3a, rr, 1, 1
a004cdd209bd1889, forerunners, 1, 1
1281463279095757, mesopotamian, 1, 1
a21afea5ab18a05d, cdl, 1, 1
ed05a95c3d9fd7b, epigraphist, 1, 1
8c113361a7abe25f, enlil, 1, 1
d69e67b71e84e960, marû, 1, 1
ee6140af1b85023d, médicales, 1, 1
4dbc9acb5f87420e, universitario, 1, 1
8837a0570523f9d, philological, 1, 1
fa2b961ab36949b1, babylonica, 1, 1
223bfce9a4a1b5d4, šū, 1, 1
f196bdc4246a9487, aos, 1, 1
7edf0ff496e32b39, études, 1, 1
12a9e1f3b4007ad, oppenheim, 1, 1
40ebe53a64c7ad17, schøyen, 1, 1
de61280712d156b4, l’époque, 1, 1
bd241a8764fec65f, lexical, 1, 1
37ba858a71083945, schrift, 1, 1
c61f8cf559e1c72a, cuneiform, 1, 1
5b14d62a5308557c, logographically, 1, 1
3dd54c687c1d6383, textual, 1, 1
b052e6ced9c806d6, illuminate, 1, 1
81bbceaddbfe2e1d, namma, 1, 1
8a6c68124fe27626, francesca, 1, 1
e999d5732a72711e, bethesda, 1, 1
7ce483ee8e981a66, dumuzi’s, 1, 1
cb1326e44f0e4cf1, sumériennes, 1, 1
a9f877b5190e6916, composition, 1, 1
6bfc9de1ca4cca75, assyrian, 1, 1
7608ddb7b846eb20, lexicography, 1, 1
76f29af41942b8bc, s.j, 1, 1
72307e1e35707f2a, dagan, 1, 1
3a43b434f76990f6, enlil’s, 1, 1
7be1845a1a24370b, chariot, 1, 1
e49ca4ef7fcb88d9, houe, 1, 1
3533ea63ae632ce4, reiner, 1, 1
2fb9104c3038591e, enki’s, 1, 1
e8afa23fa6d8c85d, headache, 1, 1
49beb5eed9d80758, sumerological, 1, 1
c36d46cfe862f86d, thorkild, 1, 1
9abef549b2c4d27, lieberman, 1, 1
d3c3c151b3bf7345, sur, 1, 1
ae445c9693046bd0, antiquus, 1, 1
903e7a52c6bd2613, sud, 1, 1
3cc23031fe35b719, orientalis, 1, 1
f15377427656c951, naples, 1, 1
ac811aa6715bd328, orientale, 1, 1
b33fc29ebda10a6e, 281, 1, 1
4121a5ed214fec59, 298, 1, 1
f88684aed3c59b13, paléo, 1, 1
27b519cec27b2586, babylonienne, 1, 1
51354ef8c233590d, miscellanea, 1, 1
3ae064bfc0f12db9, offerts, 1, 1
f80e237cce1498d9, durand, 1, 1
64dde46361a7acda, ausa, 1, 1
506c8729546fac80, modal, 1, 1
690e00fdafd86833, hamtu, 1, 1
409c8ac78dbc0412, babylonian, 1, 1
a2ad82ff4215f26f, tzvi, 1, 1
9bb80804071a9a29, ind, 1, 1
c395666429c20fd8, 6203816, 1, 1
bc815396c617adc3, Wikipedia:Articles for deletion/AMC Publishing, 1, 1
d8e8fccc54a61bbd, amc, 1, 1
56d33f98d62fb5ce, sanctioned, 1, 1
cc9d39c8c877080c, mojo, 1, 1
bcb6a42b6a8087a7, goshen, 1, 1
f2c3a0700eeaca85, springtown, 1, 1
52fb2390bbff8d72, 6203797, 1, 1
e7cb1c700271e1d2, pojo, 1, 1
3b985f00759c7b6c, paddling, 1, 1
521082ad7f61bb55, File:Short Trips Seven Deadly Sins.jpg, 1, 1
bcd24b022dd6be38, 6203793, 1, 1
828c66a06ca96b14, sins.jpg, 1, 1
597d6c049f23c319, vilayet, 1, 1
b3668fd6ba77ac97, midhat, 1, 1
3738b8248a6bc7b1, silverware, 1, 1
2524c26edf79d8e2, cutlery, 1, 1
160f4fe80166d5aa, kalish, 1, 1
cb6c78adfda8149e, 6203790, 1, 1
3bdc6d0eda724a85, pasha, 1, 1
4cf4474d91ce722, plovdiv, 1, 1
8c231f37b4ee9e70, Kaliopa House, 1, 1
25f22be5ec88b692, layouts, 1, 1
81aa9a960b147d47, Da 2nd Phaze, 1, 1
3762b3ae51c91918, 6203784, 1, 1
ac6fa596e7f56bee, Springlake-Earth Independent School District, 1, 1
a40098c48e9f3915, 21,745, 1, 1
53c3935b9b6f07a, samland, 1, 1
d5cc2df91562de10, 6203779, 1, 1
51881d2163eab275, svetly, 1, 1
cb58f2f4eb0c042c, poyzart, 1, 1
8d9058c78d40edde, poyz, 1, 1
d3fe2e5a24ca86e6, eked, 1, 1
942956aa69e9394b, vistula, 1, 1
45022083b2339cd2, svetlovsky, 1, 1
3285db62ecd9adf2, payziev, 1, 1
95744587c5f9ed76, acidified, 1, 1
d0525bf4d29aaa15, oswald, 1, 1
8ad58df597df360a, confiscation, 1, 1
a91812cddac54b48, dankelman, 1, 1
f1b0016dbdae8aaf, Svetly, Kaliningrad Oblast, 1, 1
a31807cb09cde92e, miserable, 1, 1
92e2968082c5f8ee, 1640, 1, 1
209d11708b265655, wove, 1, 1
77fde7ef78154fde, nourishing, 1, 1
c1136a0555209aaf, predominance, 1, 1
369c60d61ffdac98, kamyshoyve, 1, 1
f96421752fb5da9c, zemland, 1, 1
a8923d926edeff98, decreeth, 1, 1
b32a5b57ce604624, taubenhaym, 1, 1
df99c35e888c616a, primorsky, 1, 1
270904330a9a2b28, 742, 1, 1
cb80c5791a2e36ae, presidium, 1, 1
7e5f1845f53f9d5f, 758, 1, 1
7eb5ea9a03db34a8, baltiysk, 1, 1
e3b50c872e630f4a, branched, 1, 1
8f76c7febee28c0a, lagoon, 1, 1
30021e6afb570492, sagged, 1, 1
6c12f395591aea04, fogs, 1, 1
61c719e894c2076f, 6203766, 1, 1
874d985db2c46e21, Neilson House, 1, 1
99acaa2efd7c2f92, chojun, 1, 1
1427b497db2c1c61, nagata, 1, 1
91fc0f955c56c15b, meibukan, 1, 1
b4087f2f6d5e9e21, miyagi, 1, 1
636dd8d73b75698d, enclosures, 1, 1
d472ff2135d34a29, sayings, 1, 1
84e9fece830edeef, calligraphy, 1, 1
c16290dc43f6a27a, genbu, 1, 1
bdd69a874ad4ad3f, oku, 1, 1
9910a8305b80d415, crest, 1, 1
3a621a7efaacb082, kata, 1, 1
26fc3fb7a5d6b2e4, imgka, 1, 1
850e51f3fc57878b, shujaku, 1, 1
5e6ee72d43f489c, fukyu, 1, 1
e14ff291040ba1c, onaji, 1, 1
230dcc5173aff2fe, 明, 1, 1
56cfe3d453c6fd9b, bubishi, 1, 1
e9dda43c2fdf3d16, kaishu, 1, 1
6099a804c88a4a26, jin, 1, 1
78165b218dfae2e, zai, 1, 1
80d7fc2f1acd34fb, menkyo, 1, 1
1c8593fa4227b8d2, tsuna, 1, 1
79f0b901c4e4d6cd, hiki, 1, 1
dac150448b19a778, yakusoku, 1, 1
be5ace90d45d9507, meitoku, 1, 1
202270aa330f7a01, cristofi, 1, 1
101abb6fe7d6bf40, mirakian, 1, 1
9baf835017ac1283, rajesh, 1, 1
560d56e7edc81589, hinder, 1, 1
27bb067835c246b4, okinawans, 1, 1
3406ab69a7e00331, goju, 1, 1
fc94d77c4989675e, meitatsu, 1, 1
ee3f644332675e50, yagi's, 1, 1
99b65bc92e7df965, myo, 1, 1
9af025611229942d, budo, 1, 1
4273b2996dba56d0, tsukayama, 1, 1
24a1aa9859960459, tsuji, 1, 1
b1844460363c3e4c, kume, 1, 1
ab310807e51ec0b6, fist, 1, 1
9062b9e72615c2ba, akihiro, 1, 1
27d89c30f7628007, turtle, 1, 1
4f83246bcef22d12, maxims, 1, 1
b400bbb65a6e4899, 6203758, 1, 1
1a574ff8eeece6de, cherhill, 1, 1
bce3973686b265f0, 128.6, 1, 1
f3318d9cdfdf1978, calstone, 1, 1
b8da34ee0fccc0a0, downland, 1, 1
3a481a82c2982e7, wellington, 1, 1
c9609fc44c1a548, Hans Godo Frabel, 1, 1
2febb12e65a91735, glaswerke, 1, 1
9ba3a4653c74f979, godo, 1, 1
903e24c8a1962200, lampwork, 1, 1
bdbfa834f83568cd, frabel’s, 1, 1
49301ae4507dfa0a, frabel, 1, 1
6efe50bd37d4ef65, journeyman, 1, 1
2f1118010daa989c, emory, 1, 1
66f31f857b2afbe0, thatcher, 1, 1
63096656ec07e03f, 6203743, 1, 1
c093a63dbbb238de, handpicked, 1, 1
cceea85d92354f6a, sandblasting, 1, 1
431110116a437da2, blower, 1, 1
a1b51923d9259ffd, impetuosity, 1, 1
4ab4de8c837bfd18, anwar, 1, 1
2fc5bbf74907db24, valencia, 1, 1
7cd362b71a694fa1, corning, 1, 1
47c9ca8ced5c31c, employs, 1, 1
a889dde0bf56eb9c, enturbulation, 1, 1
61a3da949f0a9752, Stanton Independent School District, 1, 1
b821ac6f87a868b8, 6203732, 1, 1
e941784d4177b2c8, Secure units for children, 1, 1
fa33107b61623af4, 6203726, 1, 1
a8f92a544b90d3fa, Stamford Independent School District, 1, 1
d6e00581b7bb7de4, stamford, 1, 1
d63eae41b89e8f9b, 6203720, 1, 1
3551dc369904bcd5, forfeit, 1, 1
7b69ce7fe97abcef, Wikipedia:Articles for deletion/Sharif Lockett, 1, 1
6baec76d681abd7e, sharif, 1, 1
adb4eeffa2055404, volverás, 1, 1
1deef63f59d3804b, cottle, 1, 1
e1fb8d41ffac3fb3, 6203710, 1, 1
528b26a61dbf13a3, hardeman, 1, 1
2c26c080084991ef, 6203705, 1, 1
bab7567ece1487a5, Washington Township, Mercer County, Ohio, 1, 1
14b1e66ddfe68868, 1,218, 1, 1
6587dff34e382420, Olton Independent School District, 1, 1
5665e6e882dddfc9, hale, 1, 1
4102b6f2474c28d2, h.p, 1, 1
a08674c6bcf7734c, prek, 1, 1
37c758092ab756fd, Wikipedia:Articles for deletion/Security Check Children, 1, 1
36236f209daf460c, 6203698, 1, 1
f9b35ae3b21599f, Lillian (name), 1, 1
1d025c34a6b744bc, 6203697, 1, 1
17b691e0d1b548e1, liliane, 1, 1
3d2d5531d6d3aa60, mendon, 1, 1
e84a35f27a84ef0a, 6203692, 1, 1
f0f094a294bd2b6e, knaresborough, 1, 1
1f06671073ca2117, Meysey-Thompson baronets, 1, 1
4c8b3dd66816dccc, 6203690, 1, 1
1c1ef5a07caee4b2, socialite, 1, 1
855bd2ed858a4a21, crossgen's, 1, 1
7614b43e57e9030c, mystic, 1, 2
26539eb4192aff33, giselle's, 1, 1
cf122cde86235b5d, sigilverse, 1, 1
39ba4350dcc26cfe, psychic, 1, 1
1bf987694492cac3, brandon, 1, 1
b3e1fc2efb0eca60, marz, 1, 1
3bbf36e9f500c599, astral, 1, 1
1e44950c6f9ef69, sorceress, 1, 1
dc8a2437db3c3c29, sacrificed, 1, 1
b46c80db2d8a31b6, enchantress, 1, 1
fa93e32be5576a2e, nouveau, 1, 1
8a5aff8aa364a920, steals, 1, 1
27fb122ef1d5107b, spoiled, 1, 1
f39ee3bfb46ddf3, giselle, 1, 1
a45a71b6a56c4198, chevailier, 1, 1
7e8d62fc53e71e6c, ingra, 1, 1
288378c46fc3e5f6, hyperion, 1, 1
2bd7396ed80abc3e, guildmaster, 1, 1
40bde86138fb8c83, animora, 1, 1
4465aec01b38492b, strip, 1, 1
ccdbbe2d4823d9e0, manipulators, 1, 1
2f2a0dd80361e234, miserables, 1, 1
16184ac0f1b584b4, steampunk, 1, 1
3bce470acf6ab0be, stuart's, 1, 1
f0565ebdfeaa8d87, 6203689, 1, 1
3ba5aa8ab47f6c51, 1,365, 1, 1
d6ef0f8a1d697619, coolidge, 1, 1
a58ac7df2e1b9189, dixon, 1, 1
706fa582dd1f7d6d, ewell, 1, 1
5f745ba9ff6d2296, woodrow, 1, 1
4a4341d7bf756745, calvin, 1, 1
5bc6a94903f946dd, dwight, 1, 1
